doctor_id,name,last_name,specialization,phone,email
78,Ông Trung Lê,Nguyễn,Tổng quát,03 1030715,hnguyen@example.com
79,Chị Nhật Đặng,Mai,Chấn thương chỉnh hình,+84 82 0583453,janetran@example.org
80,Tùng Hải Lê,Bùi,Tâm thần,(09) 2761 3474,john51@example.com
81,Anh Văn Nguyễn,Phạm,Nội tiết,05 9319774,phamjane@example.net
82,Phúc Trần,Hoàng,Nhi khoa,(06)791-5280,zduong@example.net
83,Hương Bùi,Nguyễn,Tiết niệu,04 6019 6078,janepham@example.net
84,Khoa Đặng,Bùi,Tiết niệu,+84-37-743 9480,dangjane@example.org
85,Thành Bùi,Dương,Chấn thương chỉnh hình,+84-17-506 5566,jane57@example.org
86,Quý cô Bảo Hoàng,Nguyễn,Da liễu,+84-02-338129,jane42@example.org
87,Quý ông Vũ Dương,Trần,Sản phụ khoa,+84-17-108587,john03@example.com
88,Quý ông Vũ Nguyễn,Nguyễn,Cơ xương khớp,02 5416979,jane09@example.com
89,Duyên Hoàng,Trần,Tổng quát,07 3857 3153,ppham@example.org
90,Phương Mai Bảo Mai,Dương,Nội tiết,03 3462 7737,janele@example.org
91,Hà Hoàng,Lê,Mắt,+84-84-274179,janele@example.org
92,Quý cô Lan Trần,Phạm,Nội tiết,01 9836 5964,mbui@example.net
93,Linh Vũ,Lê,Tổng quát,(08) 3576 2728,jane25@example.net
94,Bác Phúc Phạm,Đặng,Ung bướu,+84-41-151 2858,lejane@example.org
95,Anh Phúc Trần,Trần,Tim mạch,03 2490324,maijohn@example.com
96,Ông Hưng Đặng,Dương,Nội tiết,+84 88 9026311,kbui@example.net
97,Minh Dương,Nguyễn,Mắt,+84-00-858189,janedang@example.com
98,Bà Phương Phạm,Trần,Da liễu,(09) 1409 5425,john40@example.net
99,Thảo Mai,Nguyễn,Tim mạch,07 9097053,janevu@example.org
100,Nhật Đức Trần,Bùi,Tổng quát,07 8887359,lvu@example.net
101,Dũng Mai,Vũ,Tai Mũi Họng,(07)213-7834,jane24@example.net
102,Vi Lê,Bùi,Tâm thần,(07)341-8401,dnguyen@example.org
103,Hải Phạm,Vũ,Da liễu,+84-15-588563,hvu@example.net
104,Cô Duyên Đặng,Đặng,Tiêu hóa,05 1951 1209,john37@example.net
105,Lâm Phạm,Hoàng,Tổng quát,06 4369 3706,johnnguyen@example.com
106,Bà Phương Dương,Hoàng,Tổng quát,+84 56 1857023,buijane@example.net
107,Cô Bảo Lê,Hoàng,Tiêu hóa,+84-95-582194,nguyenjane@example.com
108,Linh Lê,Dương,Mắt,(07) 0593 0872,duongjohn@example.com
109,Cô Hải Vũ,Bùi,Da liễu,(04) 0858 4550,gle@example.net
110,An Tấn Nguyễn,Bùi,Thần kinh,01 5648 4854,john96@example.org
111,Nam Hải Trần,Hoàng,Tim mạch,+84-42-414 6972,wdang@example.com
112,Bà Khoa Nguyễn,Mai,Mắt,+84-63-755 3083,ehoang@example.org
113,Chị Lan Lê,Mai,Nhi khoa,07 0141 9393,dhoang@example.com
114,Dũng Lê,Hoàng,Nhi khoa,02 3714663,jane55@example.org
115,Nhật Bùi,Lê,Cơ xương khớp,(07)274-8797,jane72@example.net
116,Duyên Phạm,Trần,Ung bướu,02 4717 4988,john11@example.net
117,Cô An Phạm,Hoàng,Miễn dịch,03 5598632,gdang@example.com
118,Quang Phạm,Nguyễn,Tai Mũi Họng,+84 06 9475019,jane69@example.org
119,Cô Vân Mai,Vũ,Tai Mũi Họng,08 3208391,johnvu@example.com
120,Hà Hoàng,Trần,Sản phụ khoa,+84-95-841603,johnduong@example.org
121,Tú Hải Bùi,Trần,Tiết niệu,05 6735028,john23@example.com
122,Bà An Phạm,Nguyễn,Mắt,+84-93-910 9495,nguyenjohn@example.net
123,Khoa Phú Bùi,Nguyễn,Thần kinh,01 2477849,john96@example.com
124,Bảo Phạm,Mai,Ung bướu,+84-92-898713,duongjane@example.org
125,An Hữu Lê,Đặng,Tâm thần,07 0531 5674,khoang@example.org
126,Huy Hoàng,Mai,Ung bướu,+84 97 7618930,dangjohn@example.net
127,Chị Vi Mai,Bùi,Ung bướu,08 0073 9539,jane71@example.org
128,Cô Ánh Đặng,Bùi,Tai Mũi Họng,09 7111 7321,john61@example.com
129,An Mai,Phạm,Mắt,+84 29 1255512,johndang@example.com
130,Quý cô Ngọc Trần,Lê,Ung bướu,+84 77 2165058,johnvu@example.org
131,Dũng Trần,Bùi,Nội tiết,+84-14-884 6766,johnvu@example.org
132,Nhật Mai,Nguyễn,Hô hấp,+84-10-049670,jane46@example.net
133,Quang Trí Hoàng,Vũ,Tai Mũi Họng,(03) 7728 1832,jane18@example.net
134,Bác Hưng Mai,Lê,Sản phụ khoa,(01)696-5922,johnnguyen@example.net
135,Ông Nhiên Vũ,Dương,Tâm thần,(01)461-5038,maijohn@example.net
136,Xuân Lê,Nguyễn,Da liễu,(06) 0206 3630,johnpham@example.com
137,Huy Mai,Mai,Cơ xương khớp,(09)910-6669,jane83@example.com
138,Quang Văn Mai,Trần,Tiết niệu,08 1318 4363,rdang@example.org
139,Hà Đức Trần,Trần,Tim mạch,+84-91-395638,john74@example.org
140,Quý cô Vi Bùi,Trần,Tim mạch,+84-77-465753,janemai@example.org
141,Quang Tấn Phạm,Bùi,Tâm thần,+84-64-653 5387,bdang@example.com
142,Anh Bảo Đặng,Lê,Ung bướu,(09)276-4306,tranjane@example.org
143,Anh Quang Hoàng,Đặng,Chấn thương chỉnh hình,(07)213-8689,janeduong@example.com
144,Chị Ngọc Dương,Nguyễn,Tiêu hóa,06 8059 4658,jane86@example.com
145,Minh Lê,Bùi,Cơ xương khớp,(03)667-1568,lejane@example.net
146,Tú Mai,Hoàng,Da liễu,01 3234321,jane74@example.org
147,Minh Đức Nguyễn,Vũ,Tâm thần,+84-97-042683,udang@example.org
148,Khoa Xuân Lê,Trần,Thần kinh,(03)546-5621,janeduong@example.net
149,Hoàng Đặng,Lê,Tim mạch,+84-18-593007,vujane@example.org
150,Chi Mai,Nguyễn,Nhi khoa,04 2581 9593,janele@example.net
151,Quý ông Hưng Nguyễn,Dương,Tổng quát,+84-47-112439,jane44@example.org
152,Trung Hữu Nguyễn,Dương,Tiết niệu,09 9054773,janetran@example.com
153,Hương Phạm,Bùi,Miễn dịch,+84-18-638348,duongjane@example.org
154,Vân Lê,Bùi,Mắt,+84 69 9434772,jle@example.net
155,Lâm Phạm,Vũ,Mắt,06 8045 0091,janele@example.org
156,Nhiên Văn Đặng,Trần,Sản phụ khoa,02 8504132,jane76@example.com
157,Nhật Trí Mai,Đặng,Tai Mũi Họng,+84 41 4181729,johnmai@example.org
158,Anh Nam Bùi,Lê,Tổng quát,(08) 3136 9844,dangjohn@example.com
159,Nhật Phú Vũ,Hoàng,Ung bướu,+84 02 1521160,tranjohn@example.com
160,Cô Hương Vũ,Mai,Hô hấp,+84-95-586 9475,uvu@example.org
161,Bảo Trần,Vũ,Da liễu,+84-67-759022,dnguyen@example.net
162,Nhật Tấn Phạm,Trần,Tâm thần,(02)987-4994,vhoang@example.org
163,Quý cô Ngọc Bùi,Hoàng,Tâm thần,(07) 6445 6708,tranjane@example.com
164,Hạnh Quang Dương,Dương,Sản phụ khoa,08 9717205,zvu@example.net
165,Hồng Vũ,Lê,Chấn thương chỉnh hình,08 0515 2921,janehoang@example.org
166,Ông Châu Dương,Dương,Tai Mũi Họng,02 1086 2645,phamjohn@example.net
167,Anh Tú Bùi,Bùi,Tim mạch,+84-76-764 5792,nguyenjane@example.net
168,Bác Trung Vũ,Vũ,Tai Mũi Họng,04 7188219,jane02@example.com
169,Tùng Xuân Trần,Bùi,Miễn dịch,+84-42-205 4603,phamjohn@example.com
170,Bảo Lê,Vũ,Chấn thương chỉnh hình,+84-24-290575,vujohn@example.org
171,Vi Vũ,Bùi,Tổng quát,+84-20-808472,johndang@example.net
172,Bà Dương Phạm,Trần,Chấn thương chỉnh hình,08 5275774,buijane@example.net
173,Hưng Bùi,Vũ,Tiêu hóa,+84-07-611618,maijane@example.com
174,Châu Phạm,Lê,Cơ xương khớp,07 5264 3092,janenguyen@example.net
175,Thành Đặng,Mai,Tim mạch,+84-17-171708,vujohn@example.org
176,Bảo Mai,Mai,Chấn thương chỉnh hình,03 8566 6138,johnmai@example.net
177,Chị Hà Hoàng,Hoàng,Nhi khoa,07 9952 0618,janebui@example.org
178,Tùng Bùi,Mai,Da liễu,(07)900-1394,john51@example.com
179,Chị Mai Trần,Dương,Nội tiết,(03) 0422 6326,vujane@example.net
180,Kim Mai,Trần,Tiêu hóa,+84 82 2332765,johnpham@example.com
181,Hà Hoàng Bùi,Nguyễn,Chấn thương chỉnh hình,(01)481-1448,johndang@example.org
182,Dũng Trần,Dương,Tiêu hóa,+84-42-529034,johnle@example.com
183,Cô Hồng Phạm,Đặng,Thần kinh,(09) 1751 1051,vujane@example.com
184,Quý ông Châu Nguyễn,Phạm,Thần kinh,+84-20-300852,john82@example.net
185,Khoa Bùi,Dương,Nội tiết,00 7286 5147,johnmai@example.org
186,Bác Nam Nguyễn,Đặng,Tai Mũi Họng,+84 71 1119077,jane35@example.com
187,Ngọc Bùi,Lê,Chấn thương chỉnh hình,(06) 9006 3077,idang@example.org
188,Trung Đặng,Phạm,Tai Mũi Họng,+84-23-150 7747,ibui@example.org
189,Mai Phạm,Lê,Nhi khoa,(07) 8506 5028,vle@example.org
190,Cô Lan Trần,Hoàng,Tiết niệu,+84-29-921730,johnmai@example.org
191,Quý cô Bảo Vũ,Lê,Da liễu,06 8944 3783,john77@example.net
192,Bà Ngọc Vũ,Phạm,Ung bướu,(03) 3025 1872,jane50@example.org
193,Vi Bùi,Bùi,Nhi khoa,08 2887 7756,john11@example.com
194,Chị Nhật Bùi,Dương,Miễn dịch,04 7608 7718,tle@example.com
195,Cô Hà Trần,Phạm,Da liễu,+84-26-017203,johnle@example.org
196,Thành Dương,Trần,Cơ xương khớp,+84-79-679441,janemai@example.com
197,Anh Tú Bùi,Nguyễn,Hô hấp,+84 18 4648451,john18@example.org
198,Bà Hạnh Dương,Hoàng,Sản phụ khoa,(05) 7077 3982,janepham@example.org
199,Nhật Phạm,Hoàng,Tim mạch,+84 61 3674737,snguyen@example.org
200,Nhiên Lê,Lê,Nhi khoa,00 5592968,phamjane@example.org
